INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;05.07.2010 0:00:00;1;630000;23401
0;06.07.2010 0:00:00;1;630000;22964
1;06.07.2010 0:00:00;1;630000;22938
2;06.07.2010 0:00:00;1;630000;22709
3;06.07.2010 0:00:00;1;630000;22757
4;06.07.2010 0:00:00;1;630000;23416
5;06.07.2010 0:00:00;1;630000;24149
6;06.07.2010 0:00:00;1;630000;25168
7;06.07.2010 0:00:00;1;630000;25843
8;06.07.2010 0:00:00;1;630000;26070
9;06.07.2010 0:00:00;1;630000;25768
10;06.07.2010 0:00:00;1;630000;25873
11;06.07.2010 0:00:00;1;630000;25970
12;06.07.2010 0:00:00;1;630000;25707
13;06.07.2010 0:00:00;1;630000;25593
14;06.07.2010 0:00:00;1;630000;25294
15;06.07.2010 0:00:00;1;630000;25396
16;06.07.2010 0:00:00;1;630000;25194
17;06.07.2010 0:00:00;1;630000;24864
18;06.07.2010 0:00:00;1;630000;24857
19;06.07.2010 0:00:00;1;630000;24718
20;06.07.2010 0:00:00;1;630000;24994
21;06.07.2010 0:00:00;1;630000;24268
22;06.07.2010 0:00:00;1;630000;23793
23;06.07.2010 0:00:00;1;630000;23078
0;07.07.2010 0:00:00;1;630000;22906
1;07.07.2010 0:00:00;1;630000;22741
2;07.07.2010 0:00:00;1;630000;22414
3;07.07.2010 0:00:00;1;630000;22642
4;07.07.2010 0:00:00;1;630000;23090
5;07.07.2010 0:00:00;1;630000;23994
6;07.07.2010 0:00:00;1;630000;24975
7;07.07.2010 0:00:00;1;630000;25710
8;07.07.2010 0:00:00;1;630000;25871
9;07.07.2010 0:00:00;1;630000;25717
10;07.07.2010 0:00:00;1;630000;25824
11;07.07.2010 0:00:00;1;630000;25812
12;07.07.2010 0:00:00;1;630000;25986
13;07.07.2010 0:00:00;1;630000;25896
14;07.07.2010 0:00:00;1;630000;25927
15;07.07.2010 0:00:00;1;630000;25659
16;07.07.2010 0:00:00;1;630000;25388
17;07.07.2010 0:00:00;1;630000;25191
18;07.07.2010 0:00:00;1;630000;25255
19;07.07.2010 0:00:00;1;630000;25109
20;07.07.2010 0:00:00;1;630000;25151
21;07.07.2010 0:00:00;1;630000;24825
22;07.07.2010 0:00:00;1;630000;24125
23;07.07.2010 0:00:00;1;630000;23710
0;08.07.2010 0:00:00;1;630000;23278
1;08.07.2010 0:00:00;1;630000;23168
2;08.07.2010 0:00:00;1;630000;22758
3;08.07.2010 0:00:00;1;630000;23073
4;08.07.2010 0:00:00;1;630000;23490
5;08.07.2010 0:00:00;1;630000;24304
6;08.07.2010 0:00:00;1;630000;25236
7;08.07.2010 0:00:00;1;630000;25815
8;08.07.2010 0:00:00;1;630000;26142
9;08.07.2010 0:00:00;1;630000;25863
10;08.07.2010 0:00:00;1;630000;26110
11;08.07.2010 0:00:00;1;630000;26158
12;08.07.2010 0:00:00;1;630000;26282
13;08.07.2010 0:00:00;1;630000;25928
14;08.07.2010 0:00:00;1;630000;25663
15;08.07.2010 0:00:00;1;630000;25437
16;08.07.2010 0:00:00;1;630000;25207
17;08.07.2010 0:00:00;1;630000;24959
18;08.07.2010 0:00:00;1;630000;25014
19;08.07.2010 0:00:00;1;630000;25094
20;08.07.2010 0:00:00;1;630000;25245
21;08.07.2010 0:00:00;1;630000;24660
22;08.07.2010 0:00:00;1;630000;24014
23;08.07.2010 0:00:00;1;630000;23472
0;09.07.2010 0:00:00;1;630000;23359
1;09.07.2010 0:00:00;1;630000;23015
2;09.07.2010 0:00:00;1;630000;22956
3;09.07.2010 0:00:00;1;630000;22857
4;09.07.2010 0:00:00;1;630000;23121
5;09.07.2010 0:00:00;1;630000;24234
6;09.07.2010 0:00:00;1;630000;25409
7;09.07.2010 0:00:00;1;630000;26105
8;09.07.2010 0:00:00;1;630000;26325
9;09.07.2010 0:00:00;1;630000;26011
10;09.07.2010 0:00:00;1;630000;26322
11;09.07.2010 0:00:00;1;630000;26400
12;09.07.2010 0:00:00;1;630000;26308
13;09.07.2010 0:00:00;1;630000;26033
14;09.07.2010 0:00:00;1;630000;26055
15;09.07.2010 0:00:00;1;630000;25849
16;09.07.2010 0:00:00;1;630000;25645
17;09.07.2010 0:00:00;1;630000;25024
18;09.07.2010 0:00:00;1;630000;24986
19;09.07.2010 0:00:00;1;630000;25038
20;09.07.2010 0:00:00;1;630000;24931
21;09.07.2010 0:00:00;1;630000;24862
22;09.07.2010 0:00:00;1;630000;24168
23;09.07.2010 0:00:00;1;630000;23648
0;10.07.2010 0:00:00;1;630000;23263
1;10.07.2010 0:00:00;1;630000;23030
2;10.07.2010 0:00:00;1;630000;22747
3;10.07.2010 0:00:00;1;630000;22676
4;10.07.2010 0:00:00;1;630000;22832
5;10.07.2010 0:00:00;1;630000;23253
6;10.07.2010 0:00:00;1;630000;24177
7;10.07.2010 0:00:00;1;630000;24793
8;10.07.2010 0:00:00;1;630000;25124
9;10.07.2010 0:00:00;1;630000;25146
10;10.07.2010 0:00:00;1;630000;24910
11;10.07.2010 0:00:00;1;630000;24863
12;10.07.2010 0:00:00;1;630000;24643
13;10.07.2010 0:00:00;1;630000;24660
14;10.07.2010 0:00:00;1;630000;24669
15;10.07.2010 0:00:00;1;630000;24800
16;10.07.2010 0:00:00;1;630000;24508
17;10.07.2010 0:00:00;1;630000;24294
18;10.07.2010 0:00:00;1;630000;24127
19;10.07.2010 0:00:00;1;630000;24310
20;10.07.2010 0:00:00;1;630000;24373
21;10.07.2010 0:00:00;1;630000;24395
22;10.07.2010 0:00:00;1;630000;23822
23;10.07.2010 0:00:00;1;630000;23305
0;11.07.2010 0:00:00;1;630000;22812
1;11.07.2010 0:00:00;1;630000;22498
2;11.07.2010 0:00:00;1;630000;22445
3;11.07.2010 0:00:00;1;630000;22367
4;11.07.2010 0:00:00;1;630000;22531
5;11.07.2010 0:00:00;1;630000;22862
6;11.07.2010 0:00:00;1;630000;23211
7;11.07.2010 0:00:00;1;630000;24138
8;11.07.2010 0:00:00;1;630000;24467
9;11.07.2010 0:00:00;1;630000;24512
10;11.07.2010 0:00:00;1;630000;24691
11;11.07.2010 0:00:00;1;630000;24619
12;11.07.2010 0:00:00;1;630000;24617
13;11.07.2010 0:00:00;1;630000;24588
14;11.07.2010 0:00:00;1;630000;24773
15;11.07.2010 0:00:00;1;630000;24580
16;11.07.2010 0:00:00;1;630000;24464
17;11.07.2010 0:00:00;1;630000;24595
18;11.07.2010 0:00:00;1;630000;24640
19;11.07.2010 0:00:00;1;630000;24696
20;11.07.2010 0:00:00;1;630000;24773
21;11.07.2010 0:00:00;1;630000;24501
22;11.07.2010 0:00:00;1;630000;23750
23;11.07.2010 0:00:00;1;630000;23213
0;12.07.2010 0:00:00;1;630000;23014
1;12.07.2010 0:00:00;1;630000;22854
2;12.07.2010 0:00:00;1;630000;22628
3;12.07.2010 0:00:00;1;630000;22789
4;12.07.2010 0:00:00;1;630000;23260
5;12.07.2010 0:00:00;1;630000;24167
6;12.07.2010 0:00:00;1;630000;25576
7;12.07.2010 0:00:00;1;630000;26147
8;12.07.2010 0:00:00;1;630000;26553
9;12.07.2010 0:00:00;1;630000;26521
10;12.07.2010 0:00:00;1;630000;26390
11;12.07.2010 0:00:00;1;630000;26493
12;12.07.2010 0:00:00;1;630000;26402
13;12.07.2010 0:00:00;1;630000;26330
14;12.07.2010 0:00:00;1;630000;26075
15;12.07.2010 0:00:00;1;630000;25802
16;12.07.2010 0:00:00;1;630000;25449
17;12.07.2010 0:00:00;1;630000;25119
18;12.07.2010 0:00:00;1;630000;25261
19;12.07.2010 0:00:00;1;630000;25198
20;12.07.2010 0:00:00;1;630000;25137
21;12.07.2010 0:00:00;1;630000;24815
22;12.07.2010 0:00:00;1;630000;24071
23;12.07.2010 0:00:00;1;630000;23390
0;13.07.2010 0:00:00;1;630000;23384
1;13.07.2010 0:00:00;1;630000;23088
2;13.07.2010 0:00:00;1;630000;23067
3;13.07.2010 0:00:00;1;630000;23318
4;13.07.2010 0:00:00;1;630000;23588
5;13.07.2010 0:00:00;1;630000;24342
6;13.07.2010 0:00:00;1;630000;25529
7;13.07.2010 0:00:00;1;630000;26088
8;13.07.2010 0:00:00;1;630000;26273
9;13.07.2010 0:00:00;1;630000;26240
