INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;05.07.2010 0:00:00;1;550000;8466
0;06.07.2010 0:00:00;1;550000;7906
1;06.07.2010 0:00:00;1;550000;7584
2;06.07.2010 0:00:00;1;550000;7332
3;06.07.2010 0:00:00;1;550000;7239
4;06.07.2010 0:00:00;1;550000;7245
5;06.07.2010 0:00:00;1;550000;7127
6;06.07.2010 0:00:00;1;550000;7638
7;06.07.2010 0:00:00;1;550000;8247
8;06.07.2010 0:00:00;1;550000;9109
9;06.07.2010 0:00:00;1;550000;9533
10;06.07.2010 0:00:00;1;550000;9690
11;06.07.2010 0:00:00;1;550000;9758
12;06.07.2010 0:00:00;1;550000;9684
13;06.07.2010 0:00:00;1;550000;9886
14;06.07.2010 0:00:00;1;550000;9884
15;06.07.2010 0:00:00;1;550000;9848
16;06.07.2010 0:00:00;1;550000;9520
17;06.07.2010 0:00:00;1;550000;9359
18;06.07.2010 0:00:00;1;550000;9193
19;06.07.2010 0:00:00;1;550000;9095
20;06.07.2010 0:00:00;1;550000;9465
21;06.07.2010 0:00:00;1;550000;10329
22;06.07.2010 0:00:00;1;550000;9776
23;06.07.2010 0:00:00;1;550000;8691
0;07.07.2010 0:00:00;1;550000;7996
1;07.07.2010 0:00:00;1;550000;7601
2;07.07.2010 0:00:00;1;550000;7353
3;07.07.2010 0:00:00;1;550000;7290
4;07.07.2010 0:00:00;1;550000;7219
5;07.07.2010 0:00:00;1;550000;7246
6;07.07.2010 0:00:00;1;550000;7681
7;07.07.2010 0:00:00;1;550000;8298
8;07.07.2010 0:00:00;1;550000;9215
9;07.07.2010 0:00:00;1;550000;9630
10;07.07.2010 0:00:00;1;550000;9805
11;07.07.2010 0:00:00;1;550000;9671
12;07.07.2010 0:00:00;1;550000;9622
13;07.07.2010 0:00:00;1;550000;9781
14;07.07.2010 0:00:00;1;550000;9853
15;07.07.2010 0:00:00;1;550000;9816
16;07.07.2010 0:00:00;1;550000;9611
17;07.07.2010 0:00:00;1;550000;9433
18;07.07.2010 0:00:00;1;550000;9259
19;07.07.2010 0:00:00;1;550000;9185
20;07.07.2010 0:00:00;1;550000;9427
21;07.07.2010 0:00:00;1;550000;10061
22;07.07.2010 0:00:00;1;550000;9564
23;07.07.2010 0:00:00;1;550000;8647
0;08.07.2010 0:00:00;1;550000;7911
1;08.07.2010 0:00:00;1;550000;7515
2;08.07.2010 0:00:00;1;550000;7426
3;08.07.2010 0:00:00;1;550000;7142
4;08.07.2010 0:00:00;1;550000;7216
5;08.07.2010 0:00:00;1;550000;7126
6;08.07.2010 0:00:00;1;550000;7651
7;08.07.2010 0:00:00;1;550000;8212
8;08.07.2010 0:00:00;1;550000;9152
9;08.07.2010 0:00:00;1;550000;9639
10;08.07.2010 0:00:00;1;550000;9863
11;08.07.2010 0:00:00;1;550000;9763
12;08.07.2010 0:00:00;1;550000;9836
13;08.07.2010 0:00:00;1;550000;10003
14;08.07.2010 0:00:00;1;550000;10012
15;08.07.2010 0:00:00;1;550000;9911
16;08.07.2010 0:00:00;1;550000;9731
17;08.07.2010 0:00:00;1;550000;9623
18;08.07.2010 0:00:00;1;550000;9464
19;08.07.2010 0:00:00;1;550000;9375
20;08.07.2010 0:00:00;1;550000;9663
21;08.07.2010 0:00:00;1;550000;10478
22;08.07.2010 0:00:00;1;550000;9947
23;08.07.2010 0:00:00;1;550000;8865
0;09.07.2010 0:00:00;1;550000;8109
1;09.07.2010 0:00:00;1;550000;7679
2;09.07.2010 0:00:00;1;550000;7506
3;09.07.2010 0:00:00;1;550000;7366
